Jogo;Dia;Hora;Prova;SÉrie;Equipas;Pavilhão;1º Árbitro;2º Árbitro;JL;JL2
272;13/11/2022;15:00;CRINFF;B;SINTRA_VOLEI - GD_SESIMBRA;PAV. ALTO DOS MOINHOS - TERRUGEM;CLARA OLARU;;;
1246;13/11/2022;17:00;CRSFIII;A;ODIVELAS_SC - EF_LENCASTRE;ESC. SEC. BRAAMCAMP FREIRE;DANIEL FERNANDES;;;
133;13/11/2022;17:00;CRJUVM;ÚNICA;AM_NOGUEIRA - AV_ATLÂNTICO;ESC. SEC. DANIEL SAMPAIO;DIOGO SILVA;;;
659;13/11/2022;15:00;CRJUVF;D;AM_NOGUEIRA - AVP;ESC. SEC. DANIEL SAMPAIO;DIOGO SILVA;;;
755;13/11/2022;15:00;CRJUNF;D;EF_LENCASTRE - LUSÓFONA_VC;ESC. FILIPA DE LENCASTRE;GABRIELA RODRIGUES;;;
754;13/11/2022;19:00;CNJNBF;A;CN_GINÁSTICA - SPORTING_CP;COMPLEXO CNG;GONÇALO MONTEIRO;;;
251;13/11/2022;11:00;CRINFF;A;"AD_MARISTA - CSJ_BRITO ""B""";EXT. MARISTAS LISBOA;GONÇALO RAMOS;;;
757;13/11/2022;15:00;CRJUNF;D;AD_MARISTA - CF_BELENENSES;EXT. MARISTAS LISBOA;GONÇALO RAMOS;;;
493;13/11/2022;12:00;CRCADF;A;GDS_CASCAIS - CN_GINÁSTICA;PAV. GUILHERME PINTO BASTO;ION ANDRUSENCO;;;
727;13/11/2022;17:00;CRJUNF;C;MTBA - SC_TORRES;PAV. MTBA;ION ANDRUSENCO;;;
203;13/11/2022;15:00;CRJUNM;ÚNICA;VC_SETUBAL - CV_OEIRAS;PAV. MUN. ARANGUEZ;JORGE REIS;;;
1221;13/11/2022;17:30;CRSMIII;ÚNICA;VC_SETUBAL - AV_ATLANTICO;Pav. Mun. Aranguez;JORGE REIS;;;
492;13/11/2022;11:00;CRCADF;A;CDM_CARCAVELOS - SALES_LISB;SALESIANOS DE LISBOA;LEONOR CRUZ;;;
421;13/11/2022;16:00;NSFII;A;LUSOFONA_VC - CD_FIAES;PAV. PROF. TEOTÓNIO LIMA;MARIA FERREIRA;SERGIO PEREIRA;;
413;13/11/2022;18:00;CRINICF;C;"LUSÓFONA_VC ""B"" - AD_MARISTA";PAV. PROFESSOR TEOTÓNIO LIMA;MARIA JOÃO;SÉRGIO/MARIA;;
315;13/11/2022;09:30;CRINFF;D;"FAMÕES_CA ""B"" - CN_GINÁSTICA";ESC. SEC. BRAAMCAMP FREIRE;MARIANA AURÉLIO;;;
414;13/11/2022;11:30;CRINICF;C;ODIVELAS_SC - CD_ALVERCA V;ESC. SEC. BRAAMCAMP FREIRE;MARIANA AURÉLIO;;;
434;13/11/2022;14:00;CRINICF;D;"CF_BELENENSES ""A"" - LOBATOS_V";PAV. MESQUITA DE LISBOA;MARIANA GONÇALVES;;;
475;13/11/2022;12:00;CRINICF;F;"CF_BELENENSES ""B"" - GC_PORTUGUÊS";PAV. MESQUITA DE LISBOA;MARIANA GONÇALVES;;;
420;13/11/2022;16:00;NSFII;A;CNG - CR_PIEDENSE;COMPLEXO CNG;MICHELLE FERREIRA;GONÇALO MONTEIRO;;
703;13/11/2022;12:00;CRJUNF;B;CN_GINÁSTICA - CP_ARRUPE;COMPLEXO CNG;NICOLE SOUSA;;;
252;13/11/2022;11:00;CRINFF;A;VOLLEY4ALL - LOBATOS_V;ESC. POLIVALENTE CASCAIS;PAULO DUQUE;;;
374;13/11/2022;11:00;CRINICF;A;"CP_ARRUPE - ESTORIL_PRAIA ""B""";COL. PEDRO ARRUPE;PEDRO MOUTA;;;
702;13/11/2022;16:00;CRJUNF;B;GC_PORTUGUÊS - CSJ_BRITO ;ESC. SEC. PEDRO NUNES;RICARDO MADEIRA;;;
454;13/11/2022;15:00;CRINICF;E;"CSJ_BRITO ""A"" - CV_OEIRAS";Pav. Col. São João de Brito;RICARDO MADEIRA;;;
658;13/11/2022;17:00;CRJUVF;D;CSJ_BRITO - LUSOFONA_VC;Pav. Col. São João de Brito;RICARDO MADEIRA;;;
373;13/11/2022;15:00;CRINICF;A;"SPORTING_CP ""A"" - SL_BENFICA";PAV. MULTIDESPORTIVO SCP;RODRIGO ANDRADE;;;
394;13/11/2022;17:00;CRINICF;B;"SPORTING_CP ""B"" - RC_SANTAREM";PAV. MULTIDESPORTIVO SCP;RODRIGO ANDRADE;;;
455;13/11/2022;20:00;CRINICF;E;"SINTRA_VOLEI ""B"" - ESTORIL_PRAIA ""A""";PAV. ALTO DOS MOINHOS - TERRUGEM;RUI CASTANHEIRA;;;
136;13/11/2022;11:30;CRJUVM;ÚNICA;MTBA - SO_MARINHENSE;PAV. MTBA;SAMUEL PATRÃO;;;
556;13/11/2022;09:30;CRCADF;D;MTBA - CR_PIEDENSE;PAV. MTBA;SAMUEL PATRÃO;;;
148;13/11/2022;15:00;NSFI;A;SL_BENFICA - AJM/FCP;PAV. Nº2 - LUZ;SOFIA COSTA;SANDRA DEVEZA;HUGO CRUZ;CATARINA PEREIRA;
292;13/11/2022;17:00;CRINFF;C;CDM_CARCAVELOS - CR_PIEDENSE;MARISTAS CARCAVELOS;SUSANA SALGADO;;;
783;15/11/2022;21:15;CNJNBF;B;CR_PIEDENSE - GINÁSIO_CP;PAV. CR PIEDENSE;CATARINA RODRIGUES;;;
683;16/11/2022;21:30;TPM;1E;OEIRAS - CNGINAS;MUN. S. JULIÃO DA BARRA-OEIRAS;ALEXANDRE RIBEIRO;DANIEL FERNANDES;;
677;19/11/2022;15:00;TPF;1E;CRPIEDE - CNGINAS;PAV. CR PIEDENSE;ALEXANDRE RIBEIRO;MARIA FERREIRA;;
705;19/11/2022;20:00;CRJUNF;B;CP_ARRUPE - GC_PORTUGUÊS;COL. PEDRO ARRUPE;ANDRÉ CARVALHO;;;
810;19/11/2022;17:00;CNJBM;ÚNICA;CP_ARRUPE - SPORTING_CP;COL. PEDRO ARRUPE;ANDRÉ CARVALHO;;;
140;19/11/2022;15:00;CRJUVM;ÚNICA;CN_GINÁSTICA - SO_MARINHENSE;COMPLEXO CNG;ANDRÉ CORREIA;;;
139;19/11/2022;19:00;CRJUVM;ÚNICA;AV_ATLÂNTICO - MTBA;COL. ATLÂNTICO;ÂNGELO FERNANDES;;;
1223;19/11/2022;17:00;CRSMIII;ÚNICA;AV_ATLÂNTICO - ACAD_VP;COL. ATLÂNTICO;ÂNGELO FERNANDES;;;
335;19/11/2022;17:00;NSMII;A;CV_LISBOA - CV_OEIRAS;ESC. BI. SOPHIA MELLO BREYNER;CARLOS SILVA;GONÇALO MONTEIRO;;
415;19/11/2022;15:00;CRINICF;C;ODIVELAS_SC - AD_MARISTA;ESC. SEC. BRAAMCAMP FREIRE;CAROLINA TAVARES;;;
495;19/11/2022;12:00;CRCADF;A;CN_GINÁSTICA - CDM_CARCAVELOS;COMPLEXO CNG;CATARINA PEREIRA;;;
786;19/11/2022;16:00;CNJNBF;B;GINÁSIO_CP - AD_MARISTA;LICEU PEDRO NUNES;CLARA OLARU;;;
663;19/11/2022;15:00;CRJUVF;D;GD_SESIMBRA - AVP;PAV. MUN. SAMPAIO;DIOGO SILVA;;;
1222;19/11/2022;17:00;CRSMIII;ÚNICA;GD_SESIMBRA - FAMOES_CA;PAV. MUN. SAMPAIO;DIOGO SILVA;;;
759;19/11/2022;18:00;CRJUNF;D;CF_BELENENSES - CV_LISBOA;PAV. ACÁCIO ROSA;GABRIELA SANTOS;;;
208;19/11/2022;16:00;CRJUNM;ÚNICA;CV_OEIRAS - CV_LISBOA;PAV. MUN. SÃO JULIÃO DA BARRA;GONÇALO RAMOS;;;
662;19/11/2022;17:00;CRJUVF;D;CSJ_BRITO - CR_PIEDENSE;COL. SÃO JOÃO DE BRITO;INÊS MIGUEL;;;
474;19/11/2022;19:00;CRINICF;F;"CSJ_BRITO ""B"" - CR_PIEDENSE";COL. SÃO JOÃO DE BRITO;INÊS MIGUEL;;;
756;19/11/2022;15:00;CNJNBF;A;CSJ_BRITO - SO_MARINHENSE;COL. SÃO JOÃO DE BRITO;ION ANDRUSENCO;;;
809;19/11/2022;19:00;CNJBM;ÚNICA;CD_ALVERCA V - SINTRA_V;ESC. SEC. GAGO COUTINHO;ION ANDRUSENCO;;;
631;19/11/2022;15:00;CRJUVF;C;GDS_CASCAIS - V4_ALL;PAV. GUILHERME PINTO BASTO;LEONOR CRUZ;;;
633;19/11/2022;11:00;CRJUVF;C;SALES_ESTORIL - GC_PORTUGUES;SALESIANOS ESTORIL;MADALENA PAIS;MICHELLE FERREIRA;;
558;19/11/2022;18:00;CRCADF;D;CR_PIEDENSE - LOBATOS_V;PAV. CR PIEDENSE;MARIA FERREIRA;;;
514;19/11/2022;15:00;CRCADF;B;AD_MARISTA - LUSÓFONA_VC;EXT. MARISTAS LISBOA;MARIANA CASTRO;;;
515;19/11/2022;11:00;CRCADF;B;CV_LISBOA - EF_LENCASTRE;ESC. SEC. CAMILO CASTELO BRANCO;MARTA PAULA;;;
336;19/11/2022;17:00;NSMII;A;CNG - CA_MADALENA;COMPLEXO CNG;MICHELLE FERREIRA;ANDRÉ CORREIA;;
614;19/11/2022;18:00;CNJB1F;ÚNICA;LOBATOS_V - ESMORIZ_GC;ESC. PEDRO EANES LOBATO;NICOLE SOUSA;;;
586;19/11/2022;15:00;CRJUVF;A;GDR_BOM RETIRO - SL_BENFICA;ESC. SEC. REYNALDO DOS SANTOS;PAULO DUQUE;;;
205;19/11/2022;17:00;CRJUNM;ÚNICA;GDR_BOM RETIRO - ODIVELAS_SC;ESC. SEC. REYNALDO DOS SANTOS;PAULO DUQUE;;;
757;19/11/2022;15:00;CNJNBF;A;ODIVELAS_SC - SPORTING_CP;PAV. EB. CARLOS PAREDES;PEDRO MOUTA;;;
52;19/11/2022;15:00;NSMI;A;SL_BENFICA - AJFBASTARDO;PAV. Nº2 - LUZ;PEDRO PINTO;SANDRA DEVEZA;HUGO CRUZ;CATARINA RODRIGUES;
79;19/11/2022;15:00;CRCADM;ÚNICA;SPORTING_CP - LOUSÃ_VC;PAV. MULTIDESPORTIVO SCP;RODRIGO ANDRADE;;;
534;19/11/2022;12:30;CRCADF;C;CV_OEIRAS - SPORTING_CP;PAV. MULTIDESPORTIVO SCP;RODRIGO ANDRADE;;;
436;19/11/2022;15:00;CRINICF;D;VC_SETUBAL - LOBATOS_V;PAV. MUN. ARANGUEZ;RUI CASTANHEIRA;;;
559;19/11/2022;17:00;CRCADF;D;VC_SETUBAL - MTBA;PAV. MUN. ARANGUEZ;RUI CASTANHEIRA;;;
785;19/11/2022;11:00;CNJNBF;B;FILIPA_LENC - AV_ATLÂNTICO;ESC. FILIPA LENCASTRE;SAMUEL PATRÃO;;;
396;19/11/2022;17:00;CRINICF;B;"SINTRA_VOLEI ""A"" - RC_SANTAREM";PAV. ALTO DOS MOINHOS - TERRUGEM;SANDRA BENTES;;;
456;19/11/2022;15:00;CRINICF;E;"SINTRA_VOLEI ""B"" - CV_OEIRAS";PAV. ALTO DOS MOINHOS - TERRUGEM;SANDRA BENTES;;;
50;19/11/2022;16:00;NSMI;A;SC_CALDAS - VITORIA_SC;PAV. RAINHA Dª LEONOR;SERGIO PEREIRA;DANIEL FERNANDES;;
494;19/11/2022;15:00;CRCADF;A;SALES_LISB - CSJ_BRITO;SALESIANOS DE LISBOA;SUSANA SALGADO;;;
530;20/11/2022;16:00;CNJB1M;ÚNICA;SL_BENFICA - CV_OEIRAS;PAV. EST. UNIVERSITÁRIO;ALEXANDRE RIBEIRO;;;
477;20/11/2022;17:00;CRINICF;F;SALES_LISBOA - CG_PORTUGUÊS;SALESIANOS DE LISBOA;ANDRÉ CORREIA;;;
1274;20/11/2022;19:00;CRSFIII;B;SALES_LISB - AV_ATLÂNTICO;SALESIANOS DE LISBOA;ANDRÉ CORREIA;;;
729;20/11/2022;17:00;CRJUNF;C;SC_TORRES - CD_ALVERCA V;PAV. SC TORRES;ÂNGELO FERNANDES;;;
787;20/11/2022;17:00;CNJNBF;B;CR_PIEDENSE - CF_BELENENSES;PAV. CR PIEDENSE;CARLOS SILVA;;;
562;20/11/2022;15:00;CRCADF;D;CR_PIEDENSE - AM_NOGUEIRA;PAV. CR PIEDENSE;CARLOS SILVA;;;
294;20/11/2022;11:00;CRINFF;C;"CR_PIEDENSE - FAMÕES_CA ""A""";PAV. CR PIEDENSE;CARLOTA BRAGA;;;
476;20/11/2022;14:00;CRINICF;F;"CF_BELENENSES ""B"" - CR_PIEDENSE";PAV. ACÁCIO ROSA;CAROLINA TAVARES;;;
517;20/11/2022;16:30;CRCADF;B;CF_BELENENSES - EF_LENCASTRE;PAV. ACÁCIO ROSA;CAROLINA TAVARES;;;
704;20/11/2022;15:00;CRJUNF;B;CSJ_BRITO - SL_BENFICA;COL. SÃO JOÃO DE BRITO;CATARINA RODRIGUES;;;
253;20/11/2022;12:00;CRINFF;A;"CSJ_BRITO ""B"" - VOLLEY4ALL";COL. SÃO JOÃO DE BRITO;CLARA OLARU;;;
293;20/11/2022;10:00;CRINFF;C;"CSJ_BRITO ""A"" - CDM_CARCAVELOS";COL. SÃO JOÃO DE BRITO;CLARA OLARU;;;
1249;20/11/2022;18:00;CRSFIII;A;CP_ARRUPE - ODIVELAS_SC;COL. PEDRO ARRUPE;DANIEL FERNANDES;;;
80;20/11/2022;11:00;CRCADM;ÚNICA;AV_ATLÂNTICO - SL_BENFICA;COL. ATLÂNTICO;DIOGO SILVA;;;
684;20/11/2022;15:00;CRJUNF;A;LOBATOS_V - SINTRA_VOLEI;ESC. PEDRO EANES LOBATO;DIOGO SILVA;;;
416;20/11/2022;11:30;CRINICF;C;FAMÕES_CA - CD_ALVERCA V;EB 2/3 MOINHOS DA ARROJA;GONÇALO RAMOS;;;
606;20/11/2022;09:30;CRJUVF;B;FAMOES_CA - SINTRA_VOLEI;EB 2/3 MOINHOS DA ARROJA;GONÇALO RAMOS;;;
347;20/11/2022;10:00;CRINFF;E;CD_ALVERCA V - VC_SETÚBAL;ESC. SEC. GAGO COUTINHO;HUGO CRUZ;;;
536;20/11/2022;12:00;CRCADF;C;CD_ALVERCA V. - SPORTING_CP;ESC. SEC. GAGO COUTINHO;HUGO CRUZ;;;
273;20/11/2022;12:00;CRINFF;B;EF_LENCASTRE - SINTRA_VOLEI;ESC. FILIPA LENCASTRE;INÊS MIGUEL;;;
207;20/11/2022;15:00;CRJUNM;ÚNICA;CN_GINÁSTICA - VC_SETUBAL;COMPLEXO CNG;ION ANDRUSENCO;;;
496;20/11/2022;17:00;CRCADF;A;CN_GINÁSTICA - CSJ_BRITO;COMPLEXO CNG;ION ANDRUSENCO;;;
755;20/11/2022;19:30;CNJNBF;A;FAMOES_CA - CN_GINÁSTICA;ESC. SEC. BRAAMCAMP FREIRE;JORGE REIS;;;
457;20/11/2022;11:00;CRINICF;E;"CD_MARISTAS CARC - ESTORIL_PRAIA ""A""";COL. MARISTAS CARCAVELOS;LEONOR CRUZ;;;
319;20/11/2022;11:00;CRINFF;D;CN_GINÁSTICA - CF_BELENENSES;COMPLEXO CNG;MADALENA PAIS;;;
141;20/11/2022;15:00;CRJUVM;ÚNICA;CV_LISBOA - SC_TORRES;ESC. SEC. CAMILO CASTELO BRANCO;MARIA FERREIRA;;;
1248;20/11/2022;17:00;CRSFIII;A;CV_LISBOA - FAMOES_CA;ESC. SEC. CAMILO CASTELO BRANCO;MARIA FERREIRA;;;
254;20/11/2022;15:30;CRINFF;A;LOBATOS_V - CP_ARRUPE;COL. PEDRO ARRUPE;MARIANA AURÉLIO;DANIEL FERNANDES;;
587;20/11/2022;11:00;CRJUVF;A;CP_ARRUPE - ES_MAD.TORRES;COL. PEDRO ARRUPE;MARIANA AURÉLIO;;;
395;20/11/2022;15:00;CRINICF;B;"SPORTING_CP ""B"" - LUSÓFONA_VC ""A""";PAV. MULTIDESPORTIVO SCP;MARTA PAULA;;;
807;20/11/2022;11:30;CNJBM;ÚNICA;MTBA - AM_NOGUEIRA;PAV. GRUPO MTBA;MICHELLE FERREIRA;;;
537;20/11/2022;11:30;CRCADF;C;ODIVELAS_SC - SC_TORRES;ESC. SEC. BRAAMCAMP FREIRE;NICOLE SOUSA;;;
806;20/11/2022;10:00;CNJBM;ÚNICA;FAMOES_CA - CN_GINÁSTICA;ESC. SEC. BRAAMCAMP FREIRE;NICOLE SOUSA;;;
730;20/11/2022;17:00;CRJUNF;C;MTBA - FAMÕES_CA;PAV. GRUPO MTBA;PAULO DUQUE;;;
144;20/11/2022;15:00;CRJUVM;ÚNICA;MTBA - ODIVELAS_SC;PAV. GRUPO MTBA;PAULO DUQUE;;;
317;20/11/2022;15:00;CRINFF;D;"LUSÓFONA_VC ""A"" - SPORTING_CP ""B""";PAV. PROF. TEOTÓNIO LIMA;PEDRO MOUTA;;;
348;20/11/2022;17:00;CRINFF;E;"LUSÓFONA_VC ""B"" -SL_BENFICA";PAV. PROF. TEOTÓNIO LIMA;PEDRO MOUTA;;;
156;20/11/2022;15:00;NSFI;A;SPORT_CP - PV2014;PAV. JOÃO ROCHA;PEDRO PINTO;SERGIO PEREIRA;CATARINA PEREIRA;ANDRÉ CARVALHO;
77;20/11/2022;17:00;CRCADM;ÚNICA;CV_OEIRAS - SC_TORRES;ESC. BI. SOPHIA MELLO BREYNER;RODRIGO ANDRADE;;;
632;20/11/2022;15:00;CRJUVF;C;CV_OEIRAS - EF_LENCASTRE;ESC. BI. SOPHIA MELLO BREYNER;RODRIGO ANDRADE;;;
8;20/11/2022;11:00;CRINFM;ÚNICA;CV_OEIRAS - GAMA BARROS_V;ESC. BI. SOPHIA MELLO BREYNER;RODRIGO ANDRADE;;;
516;20/11/2022;11:00;CRCADF;B;CV_LISBOA - LUSÓFONA_VC;ESC. BI. SOPHIA MELLO BREYNER;RUI CASTANHEIRA;;;
563;20/11/2022;17:00;CRCADF;D;AV_ATLÂNTICO - MTBA;COL. ATLÂNTICO;SAMUEL PATRÃO;;;
758;20/11/2022;15:00;CRJUNF;D;AV_ATLÂNTICO - LUSÓFONA_VC;COL. ATLÂNTICO;SAMUEL PATRÃO;;;
760;20/11/2022;15:00;CRJUNF;D;AD_MARISTA - EF_LENCASTRE;EXT. MARISTAS LISBOA;SANDRA BENTES;;;
59;20/11/2022;18:00;NSMI;A;SPORT_CP - ALA_GOND;PAV. JOÃO ROCHA;SERGIO PEREIRA;PEDRO PINTO;ANDRÉ CARVALHO;CATARINA PEREIRA;
57;20/11/2022;16:00;NSMI;A;SC_CALDAS - LEIXOES_SC;PAV. RAINHA Dª LEONOR;SOFIA COSTA;PATRICIA GOMES;;
320;26/11/2022;15:00;CRINFF;D;"SPORTING_CP ""B"" - FAMÕES_CA ""B""";PAV. MULTIDESPORTIVO SCP;ANDRÉ CORREIA;;;
758;26/11/2022;13:00;CNJNBF;A;SPORTING_CP - FAMOES_CA;PAV. MULTIDESPORTIVO SCP;ANDRÉ CORREIA;;;
1276;26/11/2022;19:00;CRSFIII;B;GDS_CASCAIS - AV_ATLÂNTICO;PAV. GUILHERME PINTO BASTO;ÂNGELO FERNANDES;;;
634;26/11/2022;18:00;CRJUVF;C;V4_ALL - SALES_ESTORIL;ESCOLA SEC. CASCAIS;BRUNO SILVA;;;
339;26/11/2022;17:00;NSMII;A;CV_OEIRAS - CNG;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;JORGE REIS;;
635;26/11/2022;19:00;CRJUVF;C;CV_OEIRAS - GDS_CASCAIS;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;;;
256;26/11/2022;12:00;CRINFF;A;"CSJ_BRITO ""B"" - CP_ARRUPE";COLÉGIO SÃO JOÃO DE BRITO;CARLOTA BRAGA;;;
296;26/11/2022;10:00;CRINFF;C;"CSJ_BRITO ""A"" - FAMÕES_CA ""A""";COLÉGIO SÃO JOÃO DE BRITO;CARLOTA BRAGA;;;
40;26/11/2022;15:00;CRINICM;ÚNICA;CN_GINASTICA - SL_BENFICA;COMPLEXO CNG;CAROLINA TAVARES;;;
147;26/11/2022;12:00;CRJUVM;ÚNICA;CN_GINÁSTICA - AM_NOGUEIRA;COMPLEXO CNG;CAROLINA TAVARES;;;
255;26/11/2022;15:00;CRINFF;A;AD_MARISTA - VOLLEY4ALL;EXT. MARISTAS DE LISBOA;CATARINA RODRIGUES;;;
790;26/11/2022;18:00;CNJNBF;B;AD_MARISTA - CR_PIEDENSE;EXT. MARISTAS DE LISBOA;CATARINA RODRIGUES;;;
815;26/11/2022;19:00;CNJBM;ÚNICA;SINTRA_V - SPORTING_CP;PAV. EB2/3 ALTO DOS MOINHOS - TERRUGEM;DANIEL FERNANDES;;;
68;26/11/2022;15:00;NSMI;A;SL_BENFICA - AASMAMEDE;PAV. Nº2 - LUZ;DANIEL FERNANDES;ALEXANDRE RIBEIRO;ANDRÉ CARVALHO;ION ANDRUSENCO;
788;26/11/2022;10:00;CNJNBF;B;FILIPA_LENC - CF_BELENENSES;ESCOLA FILIPA LENCASTRE;DIOGO SILVA;;;
211;26/11/2022;17:00;CRJUNM;ÚNICA;VC_SETUBAL - HENR_NOG_VOL;PAV. MUN. ARANGUEZ;DIOGO SILVA;;;
350;26/11/2022;15:00;CRINFF;E;VC_SETÚBAL - SL_BENFICA;PAV. MUN. ARANGUEZ;DIOGO SILVA;;;
439;26/11/2022;09:15;CRINICF;D;"CF_BELENENSES ""A"" - VC_SETUBAL";PAV. ACÁCIO ROSA - RESTELO;GABRIELA SANTOS;;;
789;26/11/2022;15:00;CNJNBF;B;AV_ATLÂNTICO - GINÁSIO_CP;COLÉGIO ATLÂNTICO;GONÇALO MONTEIRO;;;
1253;26/11/2022;19:00;CRSFIII;A;CV_LISBOA - EF_LENCASTRE;ESC. SEC. CAMILO CASTELO BRANCO;GONÇALO MONTEIRO;;;
41;26/11/2022;17:00;CRINICM;ÚNICA;SPORTING_CP - CV_OEIRAS;PAV. MULTIDESPORTIVO SCP;GONÇALO RAMOS;;;
84;26/11/2022;19:00;CRCADM;ÚNICA;SPORTING_CP - AV_ATLÂNTICO;PAV. MULTIDESPORTIVO SCP;GONÇALO RAMOS;;;
397;26/11/2022;15:00;CRINICF;B;"LUSÓFONA_VC ""A"" - SINTRA_VOLEI ""A""";PAV. PROF. TEOTÓNIO LIMA;INÊS MIGUEL;;;
418;26/11/2022;17:00;CRINICF;C;"LUSÓFONA_VC ""B"" - ODIVELAS_SC";PAV. PROF. TEOTÓNIO LIMA;INÊS MIGUEL;;;
275;26/11/2022;15:00;CRINFF;B;"ES_MAD.TORRES ""A"" - SINTRA_VOLEI";ESC. SEC. MADEIRA TORRES;INÊS PEREIRA;;;
732;26/11/2022;17:00;CRJUNF;C;ES_MAD TORRES - FAMÕES_CA;ESC. SEC. MADEIRA TORRES;INÊS PEREIRA;;;
539;26/11/2022;15:00;CRCADF;C;CV_OEIRAS - CD_ALVERCA V.;PAV. MUN. SÃO JULIÃO DA BARRA;JORGE REIS;;;
276;26/11/2022;10:00;CRINFF;B;EF_LENCASTRE - CV_OEIRAS;ESCOLA FILIPA LENCASTRE;MADALENA PAIS;;;
666;26/11/2022;15:00;CRJUVF;D;AVP - CR_PIEDENSE;PAV. MUN. JOÃO DOS SANTOS;MARIA FERREIRA;;;
1225;26/11/2022;18:00;CRSMIII;ÚNICA;ACAD_VP - VC_SETUBAL;PAV. MUN. JOÃO DOS SANTOS;MARIA FERREIRA;;;
351;26/11/2022;19:00;CRINFF;E;"LUSÓFONA_VC ""B"" - AV_ATLÂNTICO";PAV. PROF. TEOTÓNIO LIMA;MARTA PAULA;;;
617;26/11/2022;17:00;CNJB1F;ÚNICA;SL_BENFICA - ESMORIZ_GC;PAV. UNIVERSITÁRIO;MICHELLE FERREIRA;;;
522;26/11/2022;11:00;CRCADF;B;AD_MARISTA - EF_LENCASTRE;EXT. MARISTAS DE LISBOA;PAULO DUQUE;;;
145;26/11/2022;15:00;CRJUVM;ÚNICA;ODIVELAS_SC - SC_TORRES;ESC. SEC. BRAAMCAMP FREIRE;PEDRO MOUTA;;;
209;26/11/2022;17:00;CRJUNM;ÚNICA;ODIVELAS_SC - CV_LISBOA;ESC. SEC. BRAAMCAMP FREIRE;PEDRO MOUTA;;;
321;26/11/2022;15:00;CRINFF;D;GDS_CASCAIS - CF_BELENENSES;PAV. GUILHERME PINTO BASTO;RUI CASTANHEIRA;;;
163;26/11/2022;15:00;NSFI;A;SPORT_ CP - LEIXOES_SC;PAV. JOÃO ROCHA;RUI REIS;SANDRA DEVEZA;RICARDO MADEIRA;HUGO CRUZ;
212;26/11/2022;19:00;CRJUNM;ÚNICA;CN_GINÁSTICA - CV_OEIRAS;COMPLEXO CNG;SAMUEL PATRÃO;;;
759;26/11/2022;17:00;CNJNBF;A;CN_GINÁSTICA - CSJ_BRITO;COMPLEXO CNG;SAMUEL PATRÃO;;;
459;26/11/2022;15:00;CRINICF;E;"CSJ_BRITO ""A"" - SINTRA_VOLEI ""B""";COLÉGIO SÃO JOÃO DE BRITO;SANDRA BENTES;;;
479;26/11/2022;17:00;CRINICF;F;"CSJ_BRITO ""B"" - CF_BELENENSES ""B""";COLÉGIO SÃO JOÃO DE BRITO;SANDRA BENTES;;;
352;26/11/2022;16:00;CRINFF;E;"CD_ALVERCA V - ES_MAD.TORRES ""B""";ESC. SEC. GAGO COUTINHO;SUSANA SALGADO;;;
534;27/11/2022;15:00;CNJB1M;ÚNICA;CV_OEIRAS - AA_ESPINHO;ESC. SOPHIA MELLO BREYNER;ALEXANDRE RIBEIRO;;;
82;27/11/2022;18:00;CRCADM;ÚNICA;GAMA BARROS_V. - CV_OEIRAS;ESC. GAMA BARROS - CACÉM;ANDRÉ CARVALHO;;;
11;27/11/2022;15:00;CRINFM;ÚNICA;GAMA BARROS_V - SO_MARINHENSE;ESC. GAMA BARROS - CACÉM;ANDRÉ CARVALHO;;;
763;27/11/2022;12:00;CRJUNF;D;AD_MARISTA - CV_LISBOA;EXT. MARISTAS DE LISBOA;ANDRÉ CORREIA;;;
519;27/11/2022;10:00;CRCADF;B;AD_MARISTA - CV_LISBOA;EXT. MARISTAS DE LISBOA;ANDRÉ CORREIA;;;
435;27/11/2022;16:00;NSFII;A;LUSOFONA_VC - GDC_GUEIFAES;PAV. PROF. TEOTÓNIO LIMA;ANDRÉ CORREIA;SANDRA DEVEZA;;
1224;27/11/2022;19:00;CRSMIII;ÚNICA;FAMOES_CA - AV_ATLÂNTICO;ESC. SEC. BRAAMCAMP FREIRE;ÂNGELO FERNANDES;;;
1251;27/11/2022;17:00;CRSFIII;A;FAMOES_CA - ODIVELAS_SC;ESC. SEC. BRAAMCAMP FREIRE;ÂNGELO FERNANDES;;;
762;27/11/2022;17:00;CRJUNF;D;AV_ATLÂNTICO - EF_LENCASTRE;COLÉGIO ATLÂNTICO;BRUNO SILVA;;;
792;27/11/2022;15:00;CNJNBF;B;AV_ATLÂNTICO - CR_PIEDENSE;COLÉGIO ATLÂNTICO;BRUNO SILVA;;;
1252;27/11/2022;18:00;CRSFIII;A;CP_ARRUPE - CV_OEIRAS;COL. PEDRO ARRUPE;CARLOS SILVA;;;
298;27/11/2022;09:00;CRINFF;C;"CR_PIEDENSE - CSJ_BRITO ""A""";PAV. CR PIEDENSE;CARLOTA BRAGA;;;
565;27/11/2022;11:00;CRCADF;D;CR_PIEDENSE - VC_SETUBAL;PAV. CR PIEDENSE;CARLOTA BRAGA;;;
277;27/11/2022;11:00;CRINFF;B;"CV_OEIRAS - ES_MAD.TORRES ""A""";ESC. SOPHIA MELLO BREYNER;CAROLINA TAVARES;;;
